index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,楚雄新闻,MPEG-2,MPEG-1,开锁,769,770,市区, ,笨笨熊 2022-09-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,楚雄公共,MPEG-2,MPEG-1,开锁,513,514,市区, ,笨笨熊 2022-09-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,楚雄市电视台,MPEG-2,MPEG-1,开锁,257,258,市区, ,笨笨熊 2022-09-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,云南卫视,MPEG-2,MPEG-1,开锁, , ,市区, ,笨笨熊 2022-09-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,云南都市,MPEG-2,MPEG-1,开锁, , ,市区, ,笨笨熊 2022-09-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474, , ,云南娱乐,MPEG-2,MPEG-1,开锁, , ,市区, ,笨笨熊 2022-09-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, , ,云南公共,MPEG-2,MPEG-1,开锁, , ,市区, ,笨笨熊 2022-09-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482, , ,楚雄新闻,MPEG-2,MPEG-1,开锁, , ,牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482, , ,楚雄公共,MPEG-2,MPEG-1,开锁, , ,牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482, , ,牟定电视台,MPEG-2,MPEG-1,开锁, , ,牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,482, , ,云南卫视,MPEG-2,MPEG-1,开锁, , ,牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,482, , ,云南都市,MPEG-2,MPEG-1,开锁, , ,牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,482, , ,云南娱乐,MPEG-2,MPEG-1,开锁, , ,牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,482, , ,云南公共,MPEG-2,MPEG-1,开锁, , ,牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,554, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,554, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,554, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,554, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,554, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,554, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,554, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,554, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,554, ,101,中国之声, ,MPEG-1,开锁, ,730,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,554, ,102,经济之声, ,MPEG-1,开锁, ,740,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,554, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,554, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,554, ,105,台海之声, ,MPEG-1,开锁, ,770,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,554, ,106,神州之声, ,MPEG-1,开锁, ,780,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,554, ,108,民族之声, ,MPEG-1,开锁, ,790,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,554, ,109,文艺之声, ,MPEG-1,开锁, ,800,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,554, ,110,老年之声, ,MPEG-1,开锁, ,810,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,554, ,112,阅读之声, ,MPEG-1,开锁, ,820,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,554, ,115,中国交通广播, ,MPEG-1,开锁, ,830,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,554, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,618, ,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,618, ,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,618, ,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,618, ,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,市区 牟定县, ,广济之烨熠2023-10-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
