index,卫星,日期,卫星,日期,卫星,日期
0,Eutelsat36C 36.0°E,"<span style=""background-color:#666666"">2022-03-27</span>",(俄)快车AT1 56.0°E,"<span style=""background-color:#666666"">2023-02-19</span>",(俄)快车80 80.0°E,"<span style=""background-color:#666666"">2024-03-06</span>"
1,中星9B 101.4°E,"<span style=""background-color:#666666"">2022-06-07</span>",亚洲6号 120.0°E,"<span style=""background-color:#666666"">2023-09-27</span>",亚太9号 142.0°E,"<span style=""background-color:#666666"">2023-12-31</span>"
2,巴基斯坦1R 38.0°E,"<span style=""background-color:#666666"">2023-10-19</span>",新天12号 57.0°E,"<span style=""background-color:#666666"">2023-12-29</span>",印度G-Sat 10/24/30 83.0°E,"<span style=""background-color:#666666"">2024-03-10</span>"
3,(俄)快车AMU3 103.0°E,"<span style=""background-color:#666666"">2023-09-26</span>",亚洲9号 122.0°E,"<span style=""background-color:#666666"">2024-01-30</span>",日本超鸟C2 144.0°E,"<span style=""background-color:#666666"">2024-01-12</span>"
4,(俄)快车AM7 40.0°E,"<span style=""background-color:#666666"">2024-02-15</span>",国际39号 62.0°E,"<span style=""background-color:#666666"">2024-02-15</span>",国际15号 85.0°E,"<span style=""background-color:#666666"">2022-07-02</span>"
5,亚洲7号 105.5°E,"<span style=""background-color:#666666"">2024-03-01</span>",日本通信4B 124.0°E,"<span style=""background-color:#666666"">2023-02-05</span>",(俄)快车AMU7 145.0°E,"<span style=""background-color:#666666"">2022-05-19</span>"
6,土耳其4A 42.0°E,"<span style=""background-color:#666666"">2022-06-23</span>",印度G-Sat 7A 62.8°E,"<span style=""background-color:#666666"">2020-07-12</span>",中星12号 87.5°E,"<span style=""background-color:#666666"">2023-07-24</span>"
7,印尼电信4号 108.0°E,"<span style=""background-color:#666666"">2024-02-10</span>",中星6D 125.0°E,"<span style=""background-color:#666666"">2023-09-10</span>",Nusantara Satu 146.0°E,"<span style=""background-color:#666666"">2023-11-28</span>"
8,国际38号 45.0°E,"<span style=""background-color:#666666"">2023-01-23</span>",国际906 64.0°E,"<span style=""background-color:#666666"">2021-08-13</span>",中新二号 88.0°E,"<span style=""background-color:#666666"">2023-11-14</span>"
9,SES-7/9 108.2°E,"<span style=""background-color:#FF9933"">2024-03-12</span>",中星26 125.0°E,"<span style=""background-color:#666666""></span>",BRIsat 150.5°E,"<span style=""background-color:#666666"">2023-10-09</span>"
10,Africasat-1A 46.0°E,"<span style=""background-color:#666666"">2022-03-08</span>",Amos 4 65.0°E,"<span style=""background-color:#666666"">2023-12-03</span>",雅玛尔401 90.0°E,"<span style=""background-color:#666666"">2023-10-19</span>"
11,百合花4A/4B 110.0°E,"<span style=""background-color:#666666"">2022-11-02</span>",日本通信3A 128.0°E,"<span style=""background-color:#666666"">2022-10-03</span>",日本通信2B 154.0°E,"<span style=""background-color:#666666"">2024-01-14</span>"
12,雅玛尔601 49.0°E,"<span style=""background-color:#666666"">2024-01-08</span>",国际17号 66.0°E,"<span style=""background-color:#666666"">2023-11-25</span>",马星3a/3b/3d 91.5°E,"<span style=""background-color:#666666"">2024-03-08</span>"
13,日本通信15 110.0°E,"<span style=""background-color:#666666"">2020-05-10</span>",Cosmos 2526 128.0°E,"<span style=""background-color:#666666"">2022-07-15</span>",Optus 10/D3 156.0°E,"<span style=""background-color:#666666"">2022-03-03</span>"
14,土耳其4B 50.0°E,"<span style=""background-color:#666666"">2021-01-16</span>",国际20号 68.5°E,"<span style=""background-color:#666666"">2024-02-06</span>",中星9号 92.2°E,"<span style=""background-color:#666666"">2024-02-21</span>"
15,中星10号 110.5°E,"<span style=""background-color:#666666"">2024-02-29</span>",老挝1号 128.5°E,"<span style=""background-color:#666666"">2024-02-22</span>",ABS-6 159.0°E,"<span style=""background-color:#666666"">2024-01-14</span>"
16,白俄罗斯通信1号 51.5°E,"<span style=""background-color:#666666"">2024-01-04</span>",Eutelsat70B 70.5°E,"<span style=""background-color:#666666"">2024-01-10</span>",印度G-Sat 15/17 93.5°E,"<span style=""background-color:#666666"">2024-02-07</span>"
17,韩星5/5A 113.0°E,"<span style=""background-color:#666666"">2024-03-01</span>",中星6C 130.0°E,"<span style=""background-color:#666666"">2024-01-11</span>",日本超鸟B3 162.0°E,"<span style=""background-color:#666666"">2023-08-18</span>"
18,土库曼/摩纳哥卫星 52.0°E,"<span style=""background-color:#666666"">2024-01-30</span>",国际22号 72.0°E,"<span style=""background-color:#666666"">2020-07-11</span>",SES-8/12 95.0°E,"<span style=""background-color:#666666"">2023-11-21</span>"
19,中星6E/6B 115.5°E,"<span style=""background-color:#666666"">2023-12-28</span>",越星1/2号 132.0°E,"<span style=""background-color:#666666"">2024-02-10</span>",国际19号 166.0°E,"<span style=""background-color:#666666"">2024-03-08</span>"
20,Al Yah 1 52.5°E,"<span style=""background-color:#666666"">2024-02-18</span>",印度G-Sat 18 74.0°E,"<span style=""background-color:#666666"">2023-11-16</span>",(俄)快车AM33 96.5°E,"<span style=""background-color:#666666"">2024-02-07</span>"
21,韩星6/7号 116.0°E,"<span style=""background-color:#666666"">2024-02-29</span>",日本通信5A 132.0°E,"<span style=""background-color:#666666"">2020-01-06</span>",Horizons 3e 169.0°E,"<span style=""background-color:#666666"">2024-01-14</span>"
22,(俄)快车AM6 53.0°E,"<span style=""background-color:#666666"">2024-01-30</span>",ABS-2/2A 75.0°E,"<span style=""background-color:#666666"">2023-12-24</span>",印度G-Sat 9 97.3°E,"<span style=""background-color:#666666"">2022-08-02</span>"
23,印尼电信3S 118.0°E,"<span style=""background-color:#666666"">2024-02-16</span>",亚太6C/6D 134.0°E,"<span style=""background-color:#666666"">2024-01-10</span>",Eutelsat172B 172.0°E,"<span style=""background-color:#666666"">2024-03-05</span>"
24,雅玛尔402 54.9°E,"<span style=""background-color:#666666"">2023-08-22</span>",亚太7号 76.5°E,"<span style=""background-color:#666666"">2024-03-05</span>",中星11号 98.0°E,"<span style=""background-color:#666666"">2023-12-28</span>"
25,孟加拉国1号 119.1°E,"<span style=""background-color:#666666"">2023-10-09</span>",亚太5C 138.0°E,"<span style=""background-color:#666666"">2024-03-09</span>",国际18号 180.0°E,"<span style=""background-color:#FF9933"">2024-03-13</span>"
26,印度G-Sat 8 55.0°E,"<span style=""background-color:#666666"">2024-02-19</span>",泰星6/8号 78.5°E,"<span style=""background-color:#666666"">2024-02-04</span>",亚洲5号 100.5°E,"<span style=""background-color:#666666"">2024-03-06</span>"
27,IPSTAR 119.5°E,"<span style=""background-color:#666666"">2024-02-16</span>",(俄)快车AM5/AT2 140.0°E,"<span style=""background-color:#666666"">2024-01-09</span>",新天9号 183.0°E,"<span style=""background-color:#666666"">2021-04-24</span>"
